ATP1ter	0124#2
BZSCT	R05588
OCHCCH	R05594
CHDCCH	R05597
BZSS	R05598
PICH	R05599
PHEPC	R05603
ABTDG	R05604
EDA	R05605
MNNH	R05606
SBTPD	R05607
GALCTD	R05608
HEXTT	R05612
PPTT	R05613
HBZOPT	R05615
HBZOPT6m	R05616
BZ12DOX	R05621
PHEPS	R05625
CMS	R05633
CDPMEK	R05634
DXPS	R05636
MCS	R05637
C24STRer	R05641
GMHEPAT	R05644
S7PI	R05645
D5KGK	R05661
UAGPT2	R05662
MTOLDOX	R05665
IDOND	R05683
IDOND2	R05684
ALCD24xi	R05685
ALCD24yi	R05686
DXPRIi	R05688
GFUCS	R05692
SLDx	R05693
SLDy	R05694
VNDH	R05699
COALDDH	R05700
FMNRx	R05705
FMNRx2	R05706
FLVR	R05707
GTHAMPOR	R05717
RE3409C	R05718
NODOx	R05724
NODOy	R05725
OBFOOLOR	R05731
ACONMT	R05763
SPDC	R05774
SQD1	R05775
PMI12346PH	R05779
PI4P3K_cho	R05795
PI3P5K_cho	R05802
PI5P4K_cho	R05803
GK_adp	R05804
CPC3MT	R05809
CODSCL4MT	R05810
CPC5MT	R05811
CPC6MT	R05813
CODSCL8XI	R05814
PHACCOAGLYACm	R05841
RBP4E	R05850
DALAOX	R05861
N3Tg	R05908
NS26Tg	R05911
GALT2g	R05927
B3GALT43g_cho	R05948
ST6GALNAC62_cho	R05951
B3GALT44g_cho	R05953
ST6GALNAC27_cho	R05954
ST6GALNAC28_cho	R05955
ST8SIA54g_cho	R05958
B3GALT3g_cho	R05962
B3GALT5g_cho	R05964
B3GALTg_cho	R06006
FUT14g_cho	R06024
FUT91g_cho	R06025
ST3GAL61g_cho	R06026
ST8SIA56g_cho	R06032
GRGT	R06042
TRE6PS	R06043
CEPA	R06056
RAFGH	R06070
FUT92g_cho	R06075
SGHA	R06088
GALS3	R06091
OAGMIG	R06093
FUT93g_cho	R06095
MTGH	R06096
B3GNT315g_cho	R06097
LCGH	R06098
RAFH	R06100
BFFS	R06102
TREH	R06103
CLBH	R06104
CLB6PH	R06112
LACZ	R06114
MAL6PG	R06115
LSERDHr	R06126
AHEXASE3	R06141
GALS4	R06152
FUT31g_cho	R06155
TARTRDH	R06180
LUMIRHODOPSINI	R06194
ABO5g_cho	R06197
IAGT	R06214
ISOMS	R06217
MTI	R06218
FUT97g_cho	R06221
SQLS	R06223
UG6PGTn	R06226
TRE6PP	R06228
MALTATr	R06251
MPOMC1	R06265
MPMECY2	R06266
MPOMOR	R06267
UGCG_cho	R06275
BLACT	R06363
TDPGDH	R06513
TDPDRE	R06514
SBPP1	R06520
ADCPS2	R06529
THRPDC	R06530
LTHRK	R06531
HIUH	R06601
SALSYN	R06602
SALCS	R06603
TMDS3	R06613
CINNDO	R06783
DHCIND	R06785
3HPPPNH	R06786
3HCINNMH	R06787
DHCINDO	R06788
HKNTDH	R06789
R15BPK	R06836
DMTPHT	R06859
3HPH5MBDCm	R06866
r0788	R06868
r0789	R06869
ETHP	R06870
CHLP	R06871
PI34P3P	R06875
CPPPGO2	R06895
DVOCHR	R06896
HADPCOADH3	R06941
NEOXANS	R06948
LCYA	R06962
LCYD	R06963
GART	R06974
AICART2	R06975
DABAAT	R06977
FALGTHLs	R06982
FALDH2	R06983
OBTFL	R06987
DHDDH	R07015
RE3519C	R07036
13HODEOR	R07058
RE3259C	R07122
KG6PDC	R07125
3KGK	R07127
MNLDHr	R07135
MTHFO	R07168
NOX	R07171
H2O2syn	R07172
APSR	R07176
VIOXANOR	R07178
ANXANASCOR	R07179
H2ASE_syn	R07181
TMTG	R07236
AUS	R07280
DB4PS	R07281
FORCT	R07290
PI34P4P	R07299
ADCPS1	R07302
CBMD	R07316
SQLC	R07322
SQLC2	R07323
MI3PS	R07324
DHPTDNRN	R07354
DHPTDNR	R07355
ARD1	R07363
ACDO	R07364
PSSA1_cho	R07377
AGLPC	R07389
MDRPD	R07392
23DK5MPPISO	R07393
2OH3K5MPPISO	R07394
ARAT	R07396
AIRC3	R07405
ASPO2y	R07407
RE0691C	R07408
ASPO2	R07410
HEMEOS	R07411
HEMEAS	R07412
GGGABADr	R07418
GGGABAH	R07419
PYDXS	R07456
GGTT	R07475
RE1897C	R07477
CYARTMT	R07481
MERGTROLR	R07483
C8STI	R07497
ZYMSTR	R07498
HGPHT	R07500
MPBQ	R07501
TCYG	R07502
TCYD	R07503
TMTD	R07504
MOD	R07599
MOD_4mop	R07601
MOD_3mop	R07603
CDGR	R07605
METSR_S1	R07608
LDAPAT	R07613
CBPSam	R07641
ALAALAD	R07651
UDPGDC	R07658
UDPKAAT	R07659
ULA4NFT	R07660
ASCBPL	R07677
3OACOAS	R07758
RE0581C	R07759
RE0582N	R07760
ECOAR	R07761
3HAD180	R07764
LIPATPT	R07770
CODSCL5DA	R07772
CODSCL5BMT	R07773
LCYE	R07840
SEPHCHCS	R08165
FACOAE180	R08174
FACOAE1829Z12Z	R08177
FACOAE1839Z12Z15Z	R08178
ARUH	R08197
SPR	R08208
AKGCAL	R08213
COBS	R08217
SELCYSS	R08219
5FLURAOR	R08226
56DH5FLURAAMH	R08227
AFLBURPPAAMH	R08228
5FLURAPRT	R08231
6MPURPRT	R08237
6TINS5MPOR	R08240
6TXAN5MPAML	R08244
TGUAPRT	R08245
LIDOMO	R08294
MEGLYXYLAMH	R08295
LIDOAMH	R08300
7MHTS	R08323
DDMCITALOR	R08348
CITALALDOR	R08349
APCS	R08359
GALAM6PISO	R08365
PUNP8	R08368
RDH1a	R08379
AKGDH	R08549
ACM6PH	R08555
CHOLD	R08557
GLYCK2	R08572
CHLADMT	R08584
FUTH	R08587
UDPGNP	R08615
PGMT	R08639
ACHBS	R08648
2AMACHYD	R08698
r0650	R08743
BAAT4x	R08744
BAAT5x	R08745
6HNACMO	R08764
T4HCINNMFM	R08766
4HBZCOAFm	R08767
DKGLCNR2y	R08879
MACPT	R08944
ACGALK	R08967
PI45P4P_cho	R08981
ALLPI	R09030
ALLULPE	R09031
CHLBSP	R09067
RE1537C	R09074
POLYAO3	R09076
CSPMDDH	R09079
CSPMDDC	R09081
MINOHPKn	R09087
MMSAD2	R09097
MCMMT	R09098
TMAMT	R09124
PYRDOX	R09125
NFMLDF	R09126
OCTDPS	R09248
DPPS	R09249
SSCOARy	R09280
GHBDHy	R09281
MSAR	R09289
SELGTHR	R09367
LPPGS	R09397
LPFPLT	R09398
GF4GL_0	R09399
GF4GL_1	R09400
MACPD	R09482
FTR	R09502
FADRx2	R09520
RE2513C	R09564
H4MPTGL_atp	R09594
MANPGH	R09645
TPRDCOAS	R09675
PMEACPE	R09725
MPTAT	R09726
FADRx	R09748
FLVRx	R09750
B3GNT310g_cho	R09755
GLYOX3	R09796
PI345P5P_cho	R09827
PHACTE	R09840
AP5AH	R09880
URACPAH	R09947
CPH4S	R09959
OP4ENH2	R09960
CCGS	R09978
3AMACHYD	R09983
MMAMT	R09998
CDGS	R10002
DKFPS2	R10049
GULOer	R10053
CYNTAH	R10079
H2CO3D	R10092
OGMEACPD	R10117
EGMEACPR	R10118
OPMEACPD	R10121
EPMEACPR	R10122
AOXSr2	R10124
BSORy	R10127
TDPADGAT	R10142
SO3R	R10146
UAGALDP	R10183
FDMO2	R10206
DIDP	R10235
AGXT2L2	R10270
SUCOAACTr	R10343
RH2CD	R10392
CH2ACH	R10393
RH3CD	R10395
RE2133C	R10452
PROD2	R10507
MEHLER	R10518
G6PDH1	R10520
RBPI	R10555
ALCD19_L	R10563
GAL1PPpp	R10622
CRNCBCT	R10643
CRNBTCT	R10644
CRNCDH	R10675
KAS15	R10707
ACPS	R10747
PAN4PP	R10748
ATHRDHr	R10851
PFOR	R10866
ASR2	R10927
PI35P3P_cho	R10928
ALAGLUE	R10938
PIK5_cho	R10951
TRESULT	R10971
RE2034C	R10991
HCYSMT2	R11063
DHPTPE	R11082
DTTPDPm	R11323
FLDR	R11485
